run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
a4898c78-6294-437c-b0b2-15e49acc28d6,2026-05-07 01:13:03,nodejs,mandelbrot,9409,101413746,,,,,,,,,,,864256,,,,,,,,,,,,,,,,,,0,,,,,,,,4400,117,1265853,0,0,0,,,,,,,,,,,0,,,,,,,,3066421
808226a1-73ed-45c2-be4e-54ac70061be5,2026-05-07 01:10:11,nodejs,fasta,7102,76549366,,,,,,,,,,,864256,,,,,,,,,,,,,,,,,,0,,,,,,,,3984,167,1802661,1,10347,0,,,,,,,,,,,70,,,,,,,,2776379
33bd606f-cff0-44b8-8cac-f9270968de46,2026-05-07 01:07:10,nodejs,spectral-norm,3286,35416985,,,,,,,,,,,860160,,,,,,,,,,,,,,,,,,0,,,,,,,,1798,53,567437,0,0,0,,,,,,,,,,,0,,,,,,,,1253370
e720fb7b-5542-4849-af24-1d6a11ebf823,2026-05-07 01:04:21,nodejs,regex-redux,5863,63195781,,,,,,,,,,,51658752,,,,,,,,,,,,,,,,,,0,,,,,,,,5638,237,2557416,0,0,0,,,,,,,,,,,0,,,,,,,,3929284
13e8f824-0184-4e21-8e4a-128933203f9c,2026-05-07 01:01:36,nodejs,n-body,7785,83910978,,,,,,,,,,,126976,,,,,,,,,,,,,,,,,,0,,,,,,,,8097,158,1701825,0,0,0,,,,,,,,,,,0,,,,,,,,5643036
b10f86eb-2877-4073-920a-1ca131d95b37,2026-05-07 00:58:50,nodejs,k-nucleotide,3241,34928826,,,,,,,,,,,26284032,,,,,,,,,,,,,,,,,,0,,,,,,,,2648,141,1514639,0,0,0,,,,,,,,,,,0,,,,,,,,1845595
936b720d-9437-430f-8662-d6db31f1f8c8,2026-05-07 00:56:07,nodejs,fannkuch-redux,28729,309652179,,,,,,,,,,,761856,,,,,,,,,,,,,,,,,,0,,,,,,,,11441,230,2483310,0,0,0,,,,,,,,,,,0,,,,,,,,7973352
7a2f1676-5223-4b6f-aaf7-17e090b7d9f7,2026-05-07 00:53:18,nodejs,binary-trees,11308,121881932,,,,,,,,,,,757760,,,,,,,,,,,,,,,,,,0,,,,,,,,6888,993,10703466,0,0,0,,,,,,,,,,,0,,,,,,,,4800462
ecbf819d-9994-4389-83f2-4676f55ce146,2026-05-07 00:50:32,nodejs,mandelbrot,9432,101664107,,,,,,,,,,,864256,,,,,,,,,,,,,,,,,,0,,,,,,,,4342,116,1254013,0,0,0,,,,,,,,,,,0,,,,,,,,3025728
e58b9a5b-84d2-400f-8df4-284049e83c28,2026-05-07 00:47:41,nodejs,fasta,7005,75503284,,,,,,,,,,,864256,,,,,,,,,,,,,,,,,,0,,,,,,,,3939,164,1765246,0,0,0,,,,,,,,,,,0,,,,,,,,2745217
ac2acf96-8da0-4742-80f0-fb3445421e94,2026-05-07 00:44:38,nodejs,spectral-norm,3271,35257625,,,,,,,,,,,860160,,,,,,,,,,,,,,,,,,0,,,,,,,,1689,51,545344,0,0,0,,,,,,,,,,,0,,,,,,,,1177025
9bc01831-ff10-4427-b870-7bf21748ec12,2026-05-07 00:41:57,nodejs,regex-redux,5650,60901897,,,,,,,,,,,51658752,,,,,,,,,,,,,,,,,,0,,,,,,,,5550,234,2518534,0,0,0,,,,,,,,,,,0,,,,,,,,3867664
9e6c54b4-af13-406c-b888-98f2cd548c3c,2026-05-07 00:39:05,nodejs,n-body,7690,82887975,,,,,,,,,,,126976,,,,,,,,,,,,,,,,,,0,,,,,,,,8035,157,1691756,0,0,0,,,,,,,,,,,0,,,,,,,,5599858
657d1077-9def-4606-800f-2994a1e9d1dc,2026-05-07 00:36:12,nodejs,k-nucleotide,3072,33107291,,,,,,,,,,,26284032,,,,,,,,,,,,,,,,,,0,,,,,,,,2457,141,1516531,0,0,0,,,,,,,,,,,0,,,,,,,,1712229
8c9c4ee5-1da9-4158-93a1-919b7d50771f,2026-05-07 00:33:30,nodejs,fannkuch-redux,28767,310060508,,,,,,,,,,,761856,,,,,,,,,,,,,,,,,,0,,,,,,,,11461,233,2512723,0,0,0,,,,,,,,,,,0,,,,,,,,7987551
fc31d4e1-9965-49fc-92da-6e350a591daa,2026-05-07 00:30:41,nodejs,binary-trees,10949,118008151,,,,,,,,,,,757760,,,,,,,,,,,,,,,,,,0,,,,,,,,7016,974,10503577,7,80709,0,,,,,,,,,,,546,,,,,,,,4889455
f2c052f8-12f0-413d-9e10-5fedcefd3f5e,2026-05-07 00:27:54,nodejs,mandelbrot,9425,101585556,,,,,,,,,,,864256,,,,,,,,,,,,,,,,,,0,,,,,,,,4315,118,1273484,0,0,0,,,,,,,,,,,0,,,,,,,,3007482
b3e671d1-f525-4bdd-aeb5-63f0083b0982,2026-05-07 00:24:56,nodejs,fasta,7007,75524949,,,,,,,,,,,864256,,,,,,,,,,,,,,,,,,0,,,,,,,,3975,162,1742539,0,0,0,,,,,,,,,,,0,,,,,,,,2770070
bf82a71f-c79f-4ff9-a5ed-5aca0e69601a,2026-05-07 00:21:55,nodejs,spectral-norm,3235,34872552,,,,,,,,,,,860160,,,,,,,,,,,,,,,,,,0,,,,,,,,1641,49,533320,0,0,0,,,,,,,,,,,0,,,,,,,,1143595
